depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
168.3,4837.69,-402,-0.28,281,12458.1,-446.5,-2.77,14156.6,239.24
168.85,4857.88,-396.9,-0.37,282,12520.5,-447.3,-2.9,14179.55,239.36
169.4,4878.08,-390.9,-1.16,283,12585,-453.2,-3.88,14205.56,238.36
169.95,4898.27,-393.4,-0.32,284,12649.6,-455,-4.18,14237.45,236.6
170.5,4917.31,-395.9,0.67,285,12717.9,-453.6,-3.96,14273.02,240.21
171.05,4936.36,-395.1,0.25,286,12786.3,-451.5,-3.61,14298.72,239.04
171.6,4955.4,-392.7,-0.16,287,12852.6,-452.4,-3.76,14308.61,235.8
172.15,4974.9,-389,-0.03,288,12918.8,-455.3,-4.25,14343.16,242.08
172.7,4994.4,-397.9,0.37,289,12988.5,-455.3,-4.25,14354.48,238.39
173.25,5013.89,-398.9,0.98,290,13058.2,-453.27,-3.91,14374.99,240.33
173.8,5033.82,-396.8,-0.5,291,13125.3,-451.23,-3.57,14410.6,242.55
174.35,5053.75,-396.6,-0.66,292,13192.3,-449.2,-3.24,14422.23,242.6
174.9,5073.67,-392.7,-0.32,293,13257.3,-450.2,-3.4,14443.28,240.95
175.45,5093.9,-400.6,-0.29,294,13322.4,-450.8,-3.5,14463.58,238.61
176,5114.13,-396.3,0.36,295,13389.2,-451.8,-3.67,14497.21,242.06
176.55,5134.35,-395.6,-0.95,296,13456,-452.9,-3.85,14520.85,241.14
177.1,5153.64,-393.3,-0.24,297,13524.4,-452.3,-3.75,14531.3,243.17
177.65,5172.94,-391.4,-0.13,298,13592.9,-452.1,-3.72,14541.66,235.83
178.2,5192.23,-391.3,0.25,299,13660.4,-450.5,-3.45,14552.93,241.73
178.75,5211.52,-393.2,0.56,300,13728,-448.8,-3.17,14563.52,239.86
179.3,5230.8,-397.6,0.58,301,13793.6,-448.8,-3.17,14575.93,239.77
179.85,5250.09,-395.8,0.26,302,13859.2,-451.8,-3.67,14586.19,237.97
180.4,5270.21,-403.1,-0.47,303,13929.7,-455.5,-4.28,14595.47,235.31
180.95,5290.33,-396.3,-0.17,304,14000.3,-453.9,-4.02,14606.21,237.59
181.5,5310.46,-390.6,-1.38,305,14070.1,-451.2,-3.57,14619.39,237.97
182.05,5329.96,-396,-0.26,306,14139.9,-449.4,-3.27,14629.99,240.1
182.6,5349.46,-390.6,0.69,307,14205.9,-447.2,-2.91,14645.2,238.12
183.15,5368.96,-396.3,-0.21,308,14272,-442.9,-2.19,14652.26,234.62
183.7,5388.39,-394.5,0.68,309,14333,-442,-2.04,14664.09,233.42
184.25,5407.83,-391.4,-0.26,310,14394.1,-443.2,-2.24,14675.12,234.34
184.8,5427.26,-407.6,0.03,311,14455.5,-442.1,-2.06,14686.37,237.49
185.35,5449.29,-401.2,0.54,312,14516.8,-443.65,-2.32,14696.69,228.91
185.9,5471.32,-402.4,-2.14,313,14579.9,-445.2,-2.57,14706.96,228.18
186.45,5493.35,-395,-1.08,314,14642.9,-446.75,-2.83,14718.12,230.53
187,5514.82,-402.5,-1.28,315,14708.8,-448.3,-3.08,14730.88,234.54
187.55,5536.29,-407.9,-0.06,316,14774.8,-449.85,-3.34,14743.19,231.48
188.1,5557.76,-399.6,-1.3,317,14843.7,-451.4,-3.6,14758.52,227.9
188.65,5577.7,-394.6,-2.19,318,14912.7,-452.95,-3.85,14763.41,224.64
189.2,5597.65,-387.2,-0.82,319,14984.7,-454.5,-4.11,14776.28,227.39
